"","knockout_1","knockout_2","knockout_3","wtGATA3_1","wtGATA3_2","wtGATA3_3"
"DHRS13",475.838122375103,394.848379875818,386.974888795431,484.219292601965,537.469686963679,620.612066009645
"DHRS1",514.419744255546,426.863239921994,418.351355149596,524.838304196845,582.555638267606,672.672463210486
"DHRS2",41.1312800867285,34.1305552052022,33.4499734029891,20.0068687638745,22.2070571245955,25.6423160903226
"DHRS3",26.831305099047,22.2644988918332,21.8205326952662,173.800704345571,192.913854499117,222.756126915622
"DHRS4-AS1",182.308721774645,151.278975023368,148.262390123435,146.433564579327,162.537105228729,187.680330864959
"DHRS4L1",10.5346197276807,8.74158108921663,8.56726921599565,6.15283900392324,6.82947685873166,7.8859437952804
"DHRS4L2",102.464569120903,85.0246485298827,83.3292108734749,81.0386717697888,89.9506281833844,103.865290545266
"DHRS4",84.0885894249192,69.7763414472681,68.3849633132617,69.5637088610195,77.2137446747675,89.1581102511313
"DHRS7B",757.303539175765,628.407144062442,615.876364411825,682.926405069205,758.028948370502,875.290129199654
"DHRS7",387.362549441813,321.431738819565,315.022215423914,664.2567394188,737.306148791578,851.361673749758
"DHRS9",0.40844875371703,0.338928978330855,0.332170550479101,0.163551490035696,0.181537517184775,0.209619958726935
"DHRSX",0.40844875371703,0.338928978330855,0.332170550479101,0.163551490035696,0.181537517184775,0.209619958726935
"DHTKD1",1446.86193593861,1200.59966708384,1176.65905784828,1369.99889206972,1520.65993014156,1755.894190563
"DHX15",10589.8531087969,8787.41350579546,8612.18770930287,8283.85663916218,9194.84601858349,10617.2171615314
"DHX16",3177.19460604344,2636.42210187924,2583.85041370412,2862.91717819869,3177.75690287138,3669.33117271913
"DHX29",2755.46177279871,2286.47005281694,2240.87659850902,2108.73836749428,2340.63980428204,2702.71857176952
"DHX30",4534.65456548899,3762.83640230985,3687.8034013897,3950.5938373954,4385.04715848021,5063.37983812292
"DHX32",1890.1105656802,1568.40542939239,1537.13057355371,1911.99193872808,2122.25684619714,2450.55346909366
"DHX33",2179.97803935311,1808.93618339578,1772.86501372444,1885.64810806287,2093.01594101765,2416.78922337785
"DHX34",932.778504597508,774.015498138205,758.581208848253,808.494150479809,897.405585876867,1036.2272481746
"DHX35",945.746799239273,784.776531961,769.127661813843,756.737877118693,839.957589758564,969.892494003614
"DHX36",1699.57129853149,1410.29678403865,1382.17470043451,1319.76130978478,1464.89763806227,1691.50590573104
"DHX37",1102.84651674309,915.137186180362,896.888853807851,881.082944333466,977.977089131006,1129.26253613389
"DHX38",1899.74097440476,1576.39670017047,1544.96249405357,1595.69881937148,1771.18045075683,2045.16828666167
"DHX40",1487.30216618022,1234.15679216874,1209.54703563892,1278.80147537035,1419.43338309112,1639.00868422886
"DHX57",1075.23115412311,892.222079808144,874.430687098611,924.289572656842,1025.93522164352,1184.63941863065
"DHX58",112.169794449016,93.0780017963414,91.2219759031765,84.5528427320938,93.8512583232897,108.369317820817
"DHX8",2601.48822118993,2158.70347729964,2115.65775787928,2099.37792708396,2330.24998079909,2690.72152342684
"DHX9",10972.598741169,9105.01414714878,8923.45522142413,8140.91727826258,9036.18738037709,10434.0152663625
"DIABLO",1818.42553733695,1508.92150834503,1478.83279418925,1566.74035621846,1739.03737764183,2008.05293020967
"DIAPH1",7543.18398487033,6259.30087455957,6134.48701659008,7067.09602484143,7844.27623237243,9057.72473685944
"DIAPH2",628.597289907681,521.607264830961,511.206132759954,443.426770445138,492.19114385509,568.329284550331
"DIAPH3-AS1",0.408451114710774,0.338930937473073,0.33217247055496,0.3185502455427,0.353581741516392,0.408278086054378
